kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 33239 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33240 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33241 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33242 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33243 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33244 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33245 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33246 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33247 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33248 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33249 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33250 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33251 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33252 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33253 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33254 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33255 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33256 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33257 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33258 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33259 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33260 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33261 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33262 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33263 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33264 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33265 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33266 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33267 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33268 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33269 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33270 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33271 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33272 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33273 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33274 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33275 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33276 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33277 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33278 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33279 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33280 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33281 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33282 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33283 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33284 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33285 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33286 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33287 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33288 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33289 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33290 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33291 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33292 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33293 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33294 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33295 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33296 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33297 : 260352 3124224 0 0 0 0 0 0 0 
_1.ptx 33298 : 260352 3124224 0 0 0 0 0 0 0 
_1.ptx 33299 : 260352 48534840 22144 0 0 14464 7232 0 0 
_1.ptx 33300 : 260352 48810060 512 0 0 14464 7232 0 0 
_1.ptx 33301 : 260352 49231980 256 0 0 14464 7232 0 0 
_1.ptx 33302 : 260352 51633180 256 0 0 14464 7232 0 0 
_1.ptx 33303 : 260352 53703252 256 0 0 14464 7232 0 0 
_1.ptx 33304 : 260352 55915524 256 0 0 14464 7232 0 0 
_1.ptx 33305 : 260352 57932136 256 0 0 14464 7232 0 0 
_1.ptx 33306 : 260352 60758136 256 0 0 14464 7232 0 0 
_1.ptx 33307 : 260352 61940808 256 0 0 14464 7232 0 0 
_1.ptx 33308 : 260352 63136008 256 0 0 15360 7232 0 0 
_1.ptx 33309 : 260352 66407868 256 0 0 15360 7232 0 0 
_1.ptx 33310 : 260352 69688260 256 0 0 15360 7232 0 0 
_1.ptx 33311 : 260352 71415540 256 0 0 15360 7232 0 0 
_1.ptx 33312 : 260352 74386260 256 0 0 15360 7232 0 0 
_1.ptx 33313 : 260352 77092992 256 0 0 14464 7232 0 0 
_1.ptx 33314 : 260352 79349292 57856 0 0 13568 7232 0 0 
_1.ptx 33315 : 260352 79865640 65024 0 0 15360 7232 0 0 
_1.ptx 33316 : 260352 65098152 65024 0 0 15360 7232 0 0 
_1.ptx 33317 : 260352 51827832 65024 0 0 15360 7232 0 0 
